,r1,r7,a,b,r14,r30
gate_30,0.4481879194630872,0.19020134228187918,0.4481879194630872,0.4404773779863819,0.14015760713314035,0.10018937076793055
gate_40,0.44228274967574577,0.18200004396667327,0.44228274967574577,0.45631215525624463,0.13265018096086179,0.09368533576517724
