Metric,Version,Retention Rate,P-Value,Significant (p<0.05),Achieved Power,Boot CI Low (diff),Boot CI High (diff)
Day-1 Retention,gate_30,0.4481879194630872,0.0744096552969191,No,0.4302857857201095,-0.0005856187888774,0.0123659230766166
Day-1 Retention,gate_40,0.4422827496757457,0.0744096552969191,No,0.4302857857201095,-0.0005856187888774,0.0123659230766166
Day-7 Retention,gate_30,0.1902013422818791,0.0015542499756143,Yes,0.8857696023365191,0.0031183149079038,0.0132921699412248
Day-7 Retention,gate_40,0.1820000439666732,0.0015542499756143,Yes,0.8857696023365191,0.0031183149079038,0.0132921699412248
